model,dataset,accuracy,precision,recall,f1_score,roc_auc,mean_confidence
customcnn,train,0.8533333333333334,0.7731958762886598,1.0,0.872093023255814,0.9433648148148148,0.49107507
efficientnetb0,train,0.5,0.0,0.0,0.0,0.4893358024691358,0.49951962
mobilenetv2,train,0.8261111111111111,0.788027477919529,0.8922222222222222,0.8368942157373632,0.9278975308641977,0.4910303
resnet50,train,0.5572222222222222,0.5824,0.40444444444444444,0.47737704918032786,0.6281987654320987,0.5164565
visionspec_qc,train,0.8494444444444444,0.7790594498669032,0.9755555555555555,0.8663048840651209,0.9367135802469136,0.47921714
customcnn,val,0.66,0.5952380952380952,1.0,0.746268656716418,0.69,0.50679314
efficientnetb0,val,0.5,0.0,0.0,0.0,0.3884,0.4993864
mobilenetv2,val,0.58,0.5677966101694916,0.67,0.6146788990825688,0.6322,0.47904977
resnet50,val,0.63,0.5773809523809523,0.97,0.7238805970149254,0.658,0.5816885
visionspec_qc,val,0.64,0.5897435897435898,0.92,0.71875,0.6409,0.464303
