image_path,predicted_class_index,predicted_class_confidence,all_class_confidences,gradcam_output_path
dataset/train\DEFECT\defect_0.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_0.jpg
dataset/train\DEFECT\defect_1.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_1.jpg
dataset/train\DEFECT\defect_10.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_10.jpg
dataset/train\DEFECT\defect_100.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_100.jpg
dataset/train\DEFECT\defect_101.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_101.jpg
dataset/train\DEFECT\defect_102.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_102.jpg
dataset/train\DEFECT\defect_103.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_103.jpg
dataset/train\DEFECT\defect_104.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_104.jpg
dataset/train\DEFECT\defect_105.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_105.jpg
dataset/train\DEFECT\defect_106.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_106.jpg
dataset/train\DEFECT\defect_107.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_107.jpg
dataset/train\DEFECT\defect_108.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_108.jpg
dataset/train\DEFECT\defect_109.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_109.jpg
dataset/train\DEFECT\defect_11.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_11.jpg
dataset/train\DEFECT\defect_110.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_110.jpg
dataset/train\DEFECT\defect_111.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_111.jpg
dataset/train\DEFECT\defect_112.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_112.jpg
dataset/train\DEFECT\defect_113.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_113.jpg
dataset/train\DEFECT\defect_114.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_114.jpg
dataset/train\DEFECT\defect_115.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_115.jpg
dataset/train\DEFECT\defect_116.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_116.jpg
dataset/train\DEFECT\defect_117.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_117.jpg
dataset/train\DEFECT\defect_118.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_118.jpg
dataset/train\DEFECT\defect_119.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_119.jpg
dataset/train\DEFECT\defect_12.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_12.jpg
dataset/train\DEFECT\defect_120.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_120.jpg
dataset/train\DEFECT\defect_121.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_121.jpg
dataset/train\DEFECT\defect_122.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_122.jpg
dataset/train\DEFECT\defect_123.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_123.jpg
dataset/train\DEFECT\defect_124.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_124.jpg
dataset/train\DEFECT\defect_125.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_125.jpg
dataset/train\DEFECT\defect_126.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_126.jpg
dataset/train\DEFECT\defect_127.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_127.jpg
dataset/train\DEFECT\defect_128.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_128.jpg
dataset/train\DEFECT\defect_129.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_129.jpg
dataset/train\DEFECT\defect_13.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_13.jpg
dataset/train\DEFECT\defect_130.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_130.jpg
dataset/train\DEFECT\defect_131.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_131.jpg
dataset/train\DEFECT\defect_132.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_132.jpg
dataset/train\DEFECT\defect_133.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_133.jpg
dataset/train\DEFECT\defect_134.jpg,0,1.0,1.0000,gradcam_outputs\train\DEFECT\defect_134.jpg
